"","Purkinje","Endothelial Stalk","Oligo- Poly-dendrocyte","Bergmann Glia","Choroid Plexus","Granular","PV Interneurons","Muraland Tip","Astrocytes","Microglia"
"Ttr",23,5,4,4,36992,9,5,3,5,1
"Ptgds",3,2,1591,1,314,3,1,19842,9,2
"Plp1",10,6,20427,23,6,355,50,3,87,5
"Aldoc",5990,2,10,2042,13,51,78,2,560,1
"Car8",8108,5,5,5,2,9,3,5,3,1
"Enpp2",19,29,583,0,5606,8,0,85,4,1
"Pcp4",5573,3,2,4,28,24,369,4,3,3
"Calb1",4864,2,0,4,18,4,2,3,0,0
"Atp1b1",4377,31,9,29,377,423,1300,30,69,13
"Malat1",4257,823,1008,1717,696,1699,1483,1236,1401,608
"Pcp2",3520,1,10,24,5,68,5,2,5,12
"Calm1",4431,587,385,571,436,1080,898,267,145,115
"Pvalb",3417,3,1,5,13,14,780,0,4,0
"Calm2",3015,59,104,73,131,532,239,76,53,62
"Itpr1",3559,7,1,4,18,12,29,7,13,1
"Apoe",13,244,49,2973,736,72,5,1096,1713,1181
"Nsg1",3089,5,0,13,6,48,237,13,3,0
"Apod",2,59,1488,8,2,12,10,1845,1,10
"Slc1a3",16,2,11,3182,16,27,0,23,133,6
"Gng13",2336,1,3,7,1,28,5,3,6,2
"Itm2b",2676,310,378,495,233,319,64,297,231,176
"Ckb",2534,18,262,1526,315,355,608,118,380,42
"Dner",2681,2,2,2,4,11,100,1,6,2
"Sparcl1",381,391,8,2991,64,42,126,377,655,3
"Atp2a2",2426,11,33,38,56,94,101,25,20,8
"Mt1",6,107,144,2233,351,45,9,57,1150,17
"Fth1",166,305,2302,109,420,133,110,340,152,226
"Hsp90ab1",2346,509,577,862,634,711,925,228,133,106
"Gnao1",2233,9,52,70,2,185,73,6,9,4
"Cst3",582,426,52,521,454,88,32,362,732,1764
"Dbi",65,42,307,1893,961,51,22,35,536,12
"Atp1a2",8,0,7,1357,97,32,2,1232,1002,4
"Rora",2026,17,10,37,12,93,211,22,19,4
"Bsg",317,1963,32,68,434,111,70,74,45,14
"Slc25a4",1845,70,171,490,220,365,460,272,223,24
"Mbp",4,3,1531,12,5,24,6,12,64,7
"Fam21",1694,9,19,19,6,17,22,9,8,7
"Ppp1r17",1573,0,0,0,1,0,0,0,0,0
"Gabra1",1480,5,5,7,3,104,359,4,4,1
"Kcnc3",1502,4,3,10,4,114,35,1,4,1
"Ptn",3,483,315,909,10,31,75,1004,247,8
"Id2",1405,19,2,73,34,25,5,2,117,3
"Stmn3",1328,6,16,26,3,214,245,7,12,7
"Arhgap5",1441,8,15,116,59,51,57,21,57,15
"App",1321,420,707,112,244,380,245,132,43,28
"Rgs8",1335,1,1,1,0,23,26,0,2,2
"Ttc3",1416,70,40,102,69,636,563,41,80,28
"Plcb4",1079,40,5,16,30,158,95,18,14,6
"Actb",720,754,921,1158,313,308,213,512,185,363
"Hpcal1",1114,16,6,4,8,61,5,9,10,3
"Grm1",1324,3,2,3,2,38,130,0,1,1
"Rgs7bp",1257,5,4,165,1,66,264,17,23,5
"Map7d2",1275,4,29,6,4,124,210,10,15,1
"Trf",0,3,1173,370,23,32,2,22,6,57
"Cnp",3,3,1063,251,11,10,1,2,38,4
"Sept7",1146,98,578,423,67,126,158,93,66,26
"Atp2b2",1259,2,2,12,25,86,50,2,7,1
"Mag",0,0,1077,0,0,6,0,0,3,1
"Mdh1",1030,36,32,117,193,126,250,49,42,13
"Gnas",893,527,196,292,596,369,517,323,156,68
"Ndrg4",1137,2,4,15,1,57,297,1,6,3
"Igf2",0,1,0,0,241,0,0,786,0,1
"Gria2",1127,4,0,15,1,95,123,2,6,0
"X1500015O10Rik",0,37,1,10,965,0,0,1,11,0
"Pla2g7",6,2,3,1222,22,17,12,0,301,10
"Hsp90aa1",1159,34,122,86,352,253,220,55,29,10
"Tmsb4x",7,1009,487,654,28,31,54,127,43,496
"Gpr37l1",168,2,14,1211,11,8,0,1,110,0
"Snap25",603,42,31,60,7,982,366,18,48,37
"Cldn11",1,1,887,0,1,6,0,12,0,0
"Slc1a6",1008,1,0,0,1,2,2,0,0,0
"Stmn2",916,31,23,21,7,537,117,22,24,23
"Ndufa4",822,105,100,151,277,244,213,96,78,29
"Ubb",777,165,245,258,172,271,111,130,72,32
"Ppp3ca",885,46,63,73,31,668,92,15,33,34
"Mt2",6,42,37,862,92,7,3,14,471,2
"Map1b",945,23,42,23,47,364,309,26,18,17
"Sparc",48,542,51,689,143,29,4,384,289,90
"Kitl",801,60,1,26,3,1,0,4,1,0
"Anks1b",931,0,65,1,1,28,97,1,4,1
"Nexn",966,4,0,1,3,0,0,42,0,4
"Rtn1",923,12,20,68,15,348,95,7,19,14
"Mobp",3,2,721,0,7,5,1,3,8,1
"Cd81",295,83,541,724,161,47,100,138,384,65
"Atp1a3",809,4,6,3,0,83,372,1,5,5
"Pltp",3,907,0,194,161,17,0,48,14,15
"Sec62",941,108,144,237,182,149,159,60,67,18
"Chchd2",735,127,144,314,283,109,116,105,101,21
"Lpgat1",777,9,13,1,20,18,49,11,4,6
"Ntm",856,5,7,93,3,147,147,8,59,6
"Strn3",843,41,15,22,28,49,36,20,18,21
"Ly6c1",0,837,1,1,2,10,0,0,1,0
"Cox4i1",649,133,255,325,445,241,224,164,137,40
"Gad1",783,0,0,2,1,14,217,1,0,0
"Sept4",95,16,456,806,7,36,54,16,4,2
"Itm2a",5,821,0,0,5,10,0,81,4,0
