"","Epithelial","Fibroblasts","Myo.Meso","Endothelium","Pericytes","Neural","Immune","Muscle"
"MIR1302-2HG",0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0
"AL627309.1",0,0,0,0,0,0,0,0
"AL627309.3",0,0,0,0,0,0,0,0
"AL627309.2",0,0,0,0,0,0,0,0
"AL627309.4",0,0,0,0,0,0,0,0
"AL732372.1",0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0
"AC114498.1",0,0,0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0,0,0
"AL669831.2",0,0,0,0,0,0,0,0
"AL669831.5",0,4.55849603301693e-06,5.51390558769833e-06,0,5.85651537335285e-06,3.10703743980115e-06,9.19750877697956e-06,0
"FAM87B",0,4.06170464302423e-06,0,0,0,0,0,0
"LINC00115",3.58468540496625e-06,4.96969231415327e-06,7.56211915554983e-06,4.48457575341473e-06,0,0,9.50118764845606e-06,0
"FAM41C",0,0,0,0,4.82683721491493e-06,0,0,0
"AL645608.7",0,0,0,0,0,0,0,0
"AL645608.3",0,4.31499460625674e-06,3.49937582708056e-05,0,0,2.87728384405122e-06,0,0
"AL645608.5",0,0,0,0,0,0,0,4.24538314582891e-06
"AL645608.1",0,0,6.65518386128644e-06,2.12596332713261e-06,5.22875816993464e-06,3.10993624630695e-06,0,8.06103198541911e-06
"SAMD11",0,4.48963865312321e-05,0.00010922215481307,1.58660901987228e-06,5.28122524425667e-06,2.25874288350418e-05,0,5.16158787825184e-05
"NOC2L",2.19513373752709e-05,3.65691700805399e-05,4.26925279888754e-05,4.03533495410555e-05,7.5997495976877e-05,5.88243839739607e-05,2.58749125474592e-05,1.47512489846642e-05
"KLHL17",7.37476723390918e-07,1.2528580825007e-06,0,4.47134867336158e-06,0,3.49772647778944e-06,0,0
"PLEKHN1",0,1.2528580825007e-06,6.73070847473243e-05,0,0,0,0,0
"PERM1",0,0,0,0,0,0,0,4.24538314582891e-06
