"","Gene","Celltype"
"1","Sst","Other Interneurons"
"2","Slc17a6","Other Interneurons"
"3","Elavl2","Other Interneurons"
"4","Lgi2","Other Interneurons"
"5","Penk","Other Interneurons"
"6","Necab1","Other Interneurons"
"7","Snca","Other Interneurons"
"8","Ly6h","Other Interneurons"
"9","Eomes","Other Interneurons"
"10","Fxyd6","Other Interneurons"
"11","Syt1","Other Interneurons"
"12","Calb2","Other Interneurons"
"13","Basp1","Other Interneurons"
"14","Nrsn1","Other Interneurons"
"15","Scg2","Other Interneurons"
"16","Tfap2b","Other Interneurons"
"17","Pcsk2","Other Interneurons"
"18","Cit","Other Interneurons"
"19","C77370","Other Interneurons"
"20","Pak3","Other Interneurons"
"21","Ppp1r17","Purkinje"
"22","Sycp1","Purkinje"
"23","Car8","Purkinje"
"24","Calb1","Purkinje"
"25","Slc1a6","Purkinje"
"26","Nrk","Purkinje"
"27","Gng13","Purkinje"
"28","Itpr1","Purkinje"
"29","Arhgef33","Purkinje"
"30","Pcp2","Purkinje"
"31","Doc2b","Purkinje"
"32","Casq2","Purkinje"
"33","Nexn","Purkinje"
"34","Epha5","Purkinje"
"35","Rgs8","Purkinje"
"36","Fam21","Purkinje"
"37","Cacna2d2","Purkinje"
"38","Sptbn2","Purkinje"
"39","Pcp4","Purkinje"
"40","Lhx1os","Purkinje"
"41","Erg","Endothelial Stalk"
"42","Pglyrp1","Endothelial Stalk"
"43","Ly6c1","Endothelial Stalk"
"44","Abcb1a","Endothelial Stalk"
"45","Ptprb","Endothelial Stalk"
"46","Ly6a","Endothelial Stalk"
"47","Pecam1","Endothelial Stalk"
"48","Flt1","Endothelial Stalk"
"49","Ctla2a","Endothelial Stalk"
"50","Adgrf5","Endothelial Stalk"
"51","Cldn5","Endothelial Stalk"
"52","Emcn","Endothelial Stalk"
"53","Adgrl4","Endothelial Stalk"
"54","Slco1a4","Endothelial Stalk"
"55","Clic5","Endothelial Stalk"
"56","Ltbp4","Endothelial Stalk"
"57","Nostrin","Endothelial Stalk"
"58","Isg15","Endothelial Stalk"
"59","Net1","Endothelial Stalk"
"60","Abcg2","Endothelial Stalk"
"61","Mog","Oligo- Poly-dendrocyte"
"62","Ermn","Oligo- Poly-dendrocyte"
"63","Mag","Oligo- Poly-dendrocyte"
"64","Klk6","Oligo- Poly-dendrocyte"
"65","Opalin","Oligo- Poly-dendrocyte"
"66","Cldn11","Oligo- Poly-dendrocyte"
"67","Plp1","Oligo- Poly-dendrocyte"
"68","Gjb1","Oligo- Poly-dendrocyte"
"69","Mobp","Oligo- Poly-dendrocyte"
"70","Anln","Oligo- Poly-dendrocyte"
"71","Tmem88b","Oligo- Poly-dendrocyte"
"72","Bcas1","Oligo- Poly-dendrocyte"
"73","Gm21984","Oligo- Poly-dendrocyte"
"74","Olig1","Oligo- Poly-dendrocyte"
"75","S1pr5","Oligo- Poly-dendrocyte"
"76","Mbp","Oligo- Poly-dendrocyte"
"77","Ppp1r14a","Oligo- Poly-dendrocyte"
"78","Ugt8a","Oligo- Poly-dendrocyte"
"79","Pex5l","Oligo- Poly-dendrocyte"
"80","Serpinb1a","Oligo- Poly-dendrocyte"
"81","Gdf10","Bergmann Glia"
"82","Btbd17","Bergmann Glia"
"83","Slc1a3","Bergmann Glia"
"84","Npy","Bergmann Glia"
"85","Timp4","Bergmann Glia"
"86","Fabp7","Bergmann Glia"
"87","Fam107a","Bergmann Glia"
"88","Lcat","Bergmann Glia"
"89","Lxn","Bergmann Glia"
"90","Gpr37l1","Bergmann Glia"
"91","Acsbg1","Bergmann Glia"
"92","Ntsr2","Bergmann Glia"
"93","Ppap2b","Bergmann Glia"
"94","Ednrb","Bergmann Glia"
"95","Pla2g7","Bergmann Glia"
"96","AW047730","Bergmann Glia"
"97","Tril","Bergmann Glia"
"98","Ptprz1","Bergmann Glia"
"99","Id4","Bergmann Glia"
"100","Mlc1","Bergmann Glia"
"101","Ttr","Choroid Plexus"
"102","Rsph1","Choroid Plexus"
"103","Mia","Choroid Plexus"
"104","Fam183b","Choroid Plexus"
"105","Prlr","Choroid Plexus"
"106","X1500015O10Rik","Choroid Plexus"
"107","Ccdc146","Choroid Plexus"
"108","Otx2","Choroid Plexus"
"109","Enpp2","Choroid Plexus"
"110","Gm973","Choroid Plexus"
"111","Rarres2","Choroid Plexus"
"112","Ccdc39","Choroid Plexus"
"113","Ccdc173","Choroid Plexus"
"114","Ccnd2","Choroid Plexus"
"115","Igfbp2","Choroid Plexus"
"116","Nnat","Choroid Plexus"
"117","Fxyd1","Choroid Plexus"
"118","Slco1c1","Choroid Plexus"
"119","Palmd","Choroid Plexus"
"120","Lgals1","Choroid Plexus"
"121","Grik2","Granular"
"122","Nr4a2","Granular"
"123","Grm4","Granular"
"124","Cbln3","Granular"
"125","Gabra6","Granular"
"126","Crtam","Granular"
"127","Kcnk3","Granular"
"128","Cbln1","Granular"
"129","Rbfox3","Granular"
"130","Neurod1","Granular"
"131","Tenm1","Granular"
"132","Prrt2","Granular"
"133","Cadps2","Granular"
"134","Camk4","Granular"
"135","Chn2","Granular"
"136","Stxbp5l","Granular"
"137","Cplx2","Granular"
"138","St18","Granular"
"139","Slitrk4","Granular"
"140","Cntn2","Granular"
